num_substrates,feature_method,avg_accuracy,avg_classwise_acc,std_err_avg_acc,std_err_avg_classwise_acc,avg_precision,avg_recall,avg_f1_score,with_Others
2,doc2vec_dbow,0.8131182795698925,0.7232487922705315,0.05496254203280893,0.11280479325319337,0.7065131113558225,0.7232487922705313,0.6951210951539566,Yes
3,doc2vec_dbow,0.7735483870967743,0.69375,0.10371657529862496,0.1711268115441052,0.7004372013696956,0.6937500000000001,0.6740120795729133,Yes
4,doc2vec_dbow,0.7901075268817204,0.7300877192982457,0.058360060276264156,0.11494110392500555,0.7272091402749298,0.7300877192982457,0.7080309536150358,Yes
5,doc2vec_dbow,0.7436559139784947,0.7343954248366013,0.08362826753831677,0.11631901227633515,0.7400717787114846,0.7343954248366013,0.709467366871782,Yes
6,doc2vec_dbow,0.7204301075268817,0.7204761904761904,0.09810318045554448,0.1436437174877347,0.6945513963161022,0.7204761904761903,0.6798594706198393,Yes
7,doc2vec_dbow,0.672258064516129,0.679441391941392,0.0820420947256462,0.1218661809445548,0.6419831557331557,0.679441391941392,0.6361338399925356,Yes
8,doc2vec_dbow,0.6261290322580644,0.6410256410256411,0.0642378406660004,0.0895075582855184,0.5823292448292449,0.6410256410256411,0.5813866370655082,Yes
9,doc2vec_dbow,0.5825806451612904,0.6322727272727272,0.12236804805062741,0.10492631548110688,0.5758174603174604,0.6322727272727272,0.5627765246449458,Yes
10,doc2vec_dbow,0.5761290322580646,0.626010101010101,0.0759505227462102,0.10992601466965378,0.5741666666666666,0.6260101010101009,0.5609316990199343,Yes
11,doc2vec_dbow,0.5478494623655914,0.5991898148148148,0.07880957583115782,0.11098209378751557,0.5676388888888888,0.5991898148148148,0.5414868464868464,Yes
