num_substrates,feature_method,avg_accuracy,avg_classwise_acc,std_err_avg_acc,std_err_avg_classwise_acc,avg_precision,avg_recall,avg_f1_score,with_Others
2,doc2vec_dbow,0.8482142857142858,0.85,0.11958954035895157,0.10897247358851685,0.8833333333333333,0.8500000000000001,0.8406746031746032,No
3,doc2vec_dbow,0.8522222222222222,0.85,0.13471964487798127,0.15122952876462448,0.8649999999999999,0.85,0.831931216931217,No
4,doc2vec_dbow,0.8977272727272727,0.8999999999999998,0.07220853511613427,0.07324331596352894,0.91875,0.9,0.8973809523809524,No
5,doc2vec_dbow,0.8357142857142857,0.8466666666666667,0.08247067886734925,0.08426149773176356,0.8594285714285712,0.8466666666666667,0.8286089466089466,No
6,doc2vec_dbow,0.7883333333333333,0.7777777777777778,0.13208793367383043,0.13944333775567927,0.7780555555555555,0.7777777777777777,0.7614947089947091,No
7,doc2vec_dbow,0.7797794117647059,0.7785714285714286,0.10286827775949274,0.12049124694171422,0.7959523809523807,0.7785714285714286,0.7654195011337869,No
8,doc2vec_dbow,0.7359649122807017,0.725,0.11588726746265239,0.11703809920990116,0.7216666666666667,0.725,0.695486111111111,No
9,doc2vec_dbow,0.7147368421052631,0.712962962962963,0.07969992197189953,0.08774339067023805,0.7157407407407407,0.712962962962963,0.6742857142857143,No
10,doc2vec_dbow,0.7067099567099568,0.6799999999999999,0.08173253035278459,0.1013930744950342,0.6559999999999999,0.6799999999999999,0.6440079365079365,No
11,doc2vec_dbow,0.7043478260869566,0.6931818181818181,0.042673105379496534,0.06072431644652045,0.6866666666666666,0.6931818181818182,0.6528643578643578,No
