PULid	sig_gene_seq	low_level_substr	high_level_substr	Pub_year	degrad_biosyn
PUL0001	GH1,8.A.49,CE2,GH130,GH130,3.A.1,3.A.1,SBP_bac_1,LacI,GH36,GH113	beta-mannan	beta-mannan	2019	degradation
PUL0002	GH16	lichenan	beta-glucan 	1996	degradation
PUL0003	GH30_8,GH43_16|CBM6	xylan	xylan	2016	degradation
PUL0004	4.A.1,GH1	glucose,cellobiose,maltose	multiple_substrates	2016	degradation
PUL0005	GH94,GH3	beta-glucan,sophorose,laminaribiose	multiple_substrates	2016	degradation
PUL0006	GH1,SIS|HTH_6,3.A.1,8.A.59,HTH_18|Response_reg|HTH_AraC,3.A.1,3.A.1,3.A.1	galactan	galactan	2014	degradation
PUL0007	GH53,2.A.2,GH42,LacI	galactan	galactan	2016	degradation
PUL0008	HTH_AraC,PfkB,2.A.1,GH32,GH32,8.A.46,1.B.14,GH32	fructan	fructan	2017	degradation
PUL0009	LacI,PfkB,PL8,3.A.1,3.A.1,3.A.1,3.A.1,PL8,GH88	glycosaminoglycan	glycosaminoglycan	2017	degradation
PUL0010	GH43_11,GH10,9.B.28,GntR,PfkB,GH39,GH67,3.A.1,3.A.1,3.A.1,GH10,GH52,CE4,3.A.1,3.A.1,SBP_bac_1,HTH_AraC,8.A.59,GH51,3.A.1,3.A.1,3.A.1,GntR,3.A.1,3.A.1,3.A.1	xylan	xylan	2017	degradation
PUL0011	GH48,GH8,GH9|CBM3,CBM4|GH9	cellulose	cellulose	1996	degradation
PUL0012	GH94,GH20,GH9,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,HATPase_c|HisKA|PAS|Response_reg	chitin	chitin	2017	degradation
PUL0013	3.A.1,8.A.59,HTH_AraC,3.A.1,3.A.1,3.A.1,GntR,GH43_5,SBP_bac_1,3.A.1,3.A.1,GH43_4,GH51,GH51,GH127,8.A.59,HTH_AraC,SBP_bac_1,3.A.1,3.A.1,CE4,GH52,GH10,3.A.1,3.A.1,GH67,GH39,PfkB,GntR,9.B.28,AAA,GH43_11	arabinan	galactan	2011	degradation
PUL0014	HTH_DeoR,HTH_AraC,8.A.59,PL1_6,GH105,SBP_bac_1,3.A.1	pectin	pectin	2018	degradation
PUL0015	SIS,GH9,4.A.3	cellobiose	mono/di/trisaccharide	2017	degradation
PUL0016	4.A.3,4.A.3,HTH_6|SIS,4.A.3,GH1	cellobiose	mono/di/trisaccharide	2017	degradation
PUL0017	GH94,3.A.1,3.A.1,SBP_bac_1,HTH_AraC,8.A.59,SBP_bac_1,3.A.9	cellobiose	mono/di/trisaccharide	2017	degradation
PUL0018	CBM70|PL8_1,PfkB,4.A.6,GH88,4.A.6,4.A.6,4.A.6,PL12_1	glycosaminoglycan	glycosaminoglycan	2012	degradation
PUL0019	Mga|HTH_11,4.A.3,4.A.3,4.A.3,GH4	lichenan,cellobiose,beta-glucoside	multiple_substrates	1997	degradation
PUL0020	PL12_1,4.A.6,4.A.6,4.A.6,GH88,TrmB,PfkB,PL8	glycosaminoglycan	glycosaminoglycan	2018	degradation
